timestamp,estado_tareas,cpu_celery,descripcion
17:08:26,0,1.48%,RG:NO
17:08:29,0,0.25%,RG:NO
17:08:31,0,1.29%,RG:NO
17:08:34,0,1.19%,RG:NO
17:08:36,0,0.30%,RG:NO
17:08:39,0,0.43%,RG:NO
17:08:41,0,1.12%,RG:NO
17:08:44,0,1.37%,RG:NO
17:08:47,0,0.27%,RG:NO
17:08:49,0,1.52%,RG:NO
17:08:52,0,0.89%,RG:NO
17:08:54,0,0.70%,RG:NO
17:08:57,0,0.27%,RG:NO
17:09:00,0,1.49%,RG:NO
17:09:02,0,0.21%,RG:NO
17:09:05,0,0.20%,RG:NO
17:09:07,0,1.20%,RG:NO
17:09:10,0,1.15%,RG:NO
17:09:12,0,0.19%,RG:NO
17:09:15,0,0.19%,RG:NO
17:09:18,0,1.25%,RG:NO
17:09:20,0,0.28%,RG:NO
17:09:23,0,0.26%,RG:NO
17:09:25,0,1.30%,RG:NO
17:09:28,0,1.38%,RG:NO
17:09:30,0,0.17%,RG:NO
17:09:33,0,0.17%,RG:NO
17:09:36,0,1.18%,RG:NO
17:09:38,0,0.26%,RG:NO
17:09:41,0,0.27%,RG:NO
17:09:43,0,1.38%,RG:NO
17:09:46,0,1.21%,RG:NO
17:09:48,0,0.24%,RG:NO
17:09:51,0,0.29%,RG:NO
17:09:54,0,1.82%,RG:NO
17:09:56,0,0.30%,RG:NO
17:09:59,0,0.34%,RG:NO
17:10:01,0,1.25%,RG:NO
